record_index,map_id,family_parameter_n,variables,construction,G1,G2,G3,jacobian_determinant,preimage_1_x,preimage_1_y,preimage_1_t,preimage_2_x,preimage_2_y,preimage_2_t,preimage_3_x,preimage_3_y,preimage_3_t,collision_image_1,collision_image_2,collision_image_3,collision_multiplicity,exact_jacobian_verified,exact_collision_verified,preimages_distinct,coordinate_degrees,coordinate_term_counts,map_sha256,base_map_sha256,source_generator,scope_note,source_files
21,ACEG-T0020-2750ec0dfbb2,20,"(x,y,t)","G_20=T_20 o F; T_20(u,v,w)=(u+20,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 20,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,79/4,0,0,3,true,true,true,7|6|4,8|6|3,2750ec0dfbb211be3536f894a135b67bd4021224f6390508085f9532a9cb5c00,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
22,ACEG-T0021-b4985dc03655,21,"(x,y,t)","G_21=T_21 o F; T_21(u,v,w)=(u+21,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 21,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,83/4,0,0,3,true,true,true,7|6|4,8|6|3,b4985dc036550a0ca2514551e577edf88d89574bd9a1a52da0bf74b15a0d3546,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
23,ACEG-T0022-39834fe12168,22,"(x,y,t)","G_22=T_22 o F; T_22(u,v,w)=(u+22,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 22,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,87/4,0,0,3,true,true,true,7|6|4,8|6|3,39834fe1216833458b9f312a4e6582ed40f9005cffa2b0dab7d62291ff177982,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
24,ACEG-T0023-ff6cfe759bf6,23,"(x,y,t)","G_23=T_23 o F; T_23(u,v,w)=(u+23,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 23,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,91/4,0,0,3,true,true,true,7|6|4,8|6|3,ff6cfe759bf6d494373d9e138b7f2d7d28cc9c9c067c73f496ba9348a1a0ae55,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
25,ACEG-T0024-2151e0a95ca2,24,"(x,y,t)","G_24=T_24 o F; T_24(u,v,w)=(u+24,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 24,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,95/4,0,0,3,true,true,true,7|6|4,8|6|3,2151e0a95ca2a7d75a92f6c2466aaf8040a9d24c5c7e42be8f215a263c5529d3,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
26,ACEG-T0025-ddb1943b875e,25,"(x,y,t)","G_25=T_25 o F; T_25(u,v,w)=(u+25,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 25,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,99/4,0,0,3,true,true,true,7|6|4,8|6|3,ddb1943b875e080fc42b9615c10b23534bddc1113b414a6faf3fda2352b03f92,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
27,ACEG-T0026-db7280cc68f4,26,"(x,y,t)","G_26=T_26 o F; T_26(u,v,w)=(u+26,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 26,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,103/4,0,0,3,true,true,true,7|6|4,8|6|3,db7280cc68f49fc6b9c3f457eed9a5be90782cc72b1999002c2d31dbe7aac656,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
28,ACEG-T0027-ee5423dbc1e6,27,"(x,y,t)","G_27=T_27 o F; T_27(u,v,w)=(u+27,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 27,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,107/4,0,0,3,true,true,true,7|6|4,8|6|3,ee5423dbc1e6819e890b61e92bfd42daca1d15353cdf4c8fd38a835fa7091135,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
29,ACEG-T0028-abadc45664a5,28,"(x,y,t)","G_28=T_28 o F; T_28(u,v,w)=(u+28,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 28,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,111/4,0,0,3,true,true,true,7|6|4,8|6|3,abadc45664a5c6ecd9531838d6f7925ff2b677adb27d629aee71b122ef07d131,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
30,ACEG-T0029-26d9cffbd5de,29,"(x,y,t)","G_29=T_29 o F; T_29(u,v,w)=(u+29,v,w)",x^3*y^3*t + 3*x^2*y^4 + 3*x^2*y^2*t + 7*x*y^3 + 3*x*y*t + 4*y^2 + t + 29,3*x^3*y^2*t + 9*x^2*y^3 + 6*x^2*y*t + 12*x*y^2 + 3*x*t + y,-x^3*t - 3*x^2*y + 2*x,-2,0,0,-1/4,1,-3/2,13/2,-1,3/2,13/2,115/4,0,0,3,true,true,true,7|6|4,8|6|3,26d9cffbd5ded1b6c9a2f024f2684bca5da7fd6444479a5677d96718b47611e9,ce70ce88ad5ef1553386ebcfc9ff5b4b1c6d7b239defc514cb66c41bc07423c7,ACEG arbitrary-counterexample generator; exact sparse arithmetic,Distinct explicit representatives in one target-translation orbit; no inequivalence claim.,Pasted text(138).txt | Pasted text (2)(11).txt
